Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly_Average
2015,8.080,8.194,8.372,8.329,8.816,8.842,8.837,8.697,8.864,8.802,8.724,8.287,8.579
2016,8.144,8.275,8.514,8.502,8.678,8.690,8.521,8.544,8.585,8.323,7.943,7.910,8.389
2017,7.790,7.848,7.856,8.081,8.082,8.349,8.359,8.251,8.084,8.039,7.906,7.927,8.048
2018,8.205,8.297,8.339,8.551,8.247,8.509,8.552,8.561,8.544,8.331,8.375,8.311,8.402
2019,8.348,8.529,8.575,8.706,8.662,8.133,8.284,8.134,8.083,8.225,8.318,8.481,8.414
2020,8.441,8.333,8.265,8.600,9.480,10.423,9.413,8.875,8.795,8.931,8.876,8.980,9.125
2021,9.148,9.079,9.134,9.344,9.892,10.780,10.538,10.599,11.010,11.654,11.508,11.055,10.395
2022,10.826,10.584,10.658,10.656,10.447,10.721,10.570,10.312,10.543,10.496,10.268,10.169,10.546
2023,10.313,10.286,10.284,10.607,10.753,11.164,11.507,11.432,11.626,11.697,11.533,11.691,10.992
2024,11.637,11.716,11.537,11.662,11.558,11.465,11.726,11.540,11.787,11.497,12.014,11.666,11.651
2025,11.965,11.899,11.924,12.326,12.207,12.923,13.554,14.319,14.135,,,,12.584
